,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
42620,34,unemployed,single,secondary,no,15,no,no,cellular,12,jan,377,1,-1,0,unknown,yes
39959,27,admin.,single,secondary,no,261,yes,yes,cellular,3,jun,592,4,-1,0,unknown,yes
44262,93,retired,married,unknown,no,775,no,no,cellular,22,jul,860,2,177,7,success,yes
5115,39,blue-collar,married,primary,no,2003,yes,no,unknown,21,may,229,2,-1,0,unknown,no
20679,55,management,married,tertiary,no,568,no,no,cellular,12,aug,940,10,-1,0,unknown,yes
40617,33,technician,married,tertiary,no,1699,no,no,cellular,4,aug,600,1,-1,0,unknown,yes
8383,32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes
39947,54,management,married,primary,no,2587,no,no,cellular,2,jun,236,2,-1,0,unknown,yes
2580,25,services,single,secondary,no,54,yes,no,unknown,13,may,318,2,-1,0,unknown,no
43572,64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success,yes
686,40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,-1,0,unknown,no
42391,31,technician,married,secondary,no,318,no,no,cellular,2,dec,310,1,-1,0,unknown,yes
35594,39,services,single,secondary,no,403,yes,no,cellular,7,may,1262,3,-1,0,unknown,yes
43109,37,unemployed,married,tertiary,no,7620,no,no,telephone,23,feb,367,1,176,6,failure,yes
7334,27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,yes
34197,33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure,yes
41703,57,management,divorced,unknown,no,854,no,no,cellular,6,oct,480,1,40,5,success,yes
31364,30,management,married,tertiary,no,8089,yes,no,cellular,18,mar,232,2,294,2,failure,yes
34001,46,services,married,secondary,no,4,no,no,cellular,30,apr,268,1,261,5,other,yes
19062,58,unknown,married,unknown,no,1547,no,no,telephone,5,aug,1186,4,-1,0,unknown,yes
38955,27,blue-collar,single,secondary,no,513,yes,yes,cellular,18,may,351,1,-1,0,unknown,yes
33994,33,blue-collar,single,unknown,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
42967,33,technician,single,secondary,no,2085,no,no,cellular,9,feb,501,2,-1,0,unknown,yes
3402,41,technician,married,secondary,no,288,yes,no,unknown,15,may,221,4,-1,0,unknown,no
1879,33,technician,single,secondary,no,513,yes,no,unknown,9,may,53,4,-1,0,unknown,no
45160,35,technician,married,secondary,no,0,yes,no,cellular,9,nov,524,1,96,5,success,yes
4442,32,student,single,unknown,no,1583,yes,no,unknown,20,may,57,1,-1,0,unknown,no
41512,50,blue-collar,married,primary,no,3764,no,no,telephone,9,sep,214,2,99,4,failure,yes
5418,35,technician,single,tertiary,no,2043,yes,yes,unknown,23,may,159,2,-1,0,unknown,no
36922,34,blue-collar,married,secondary,no,634,no,yes,cellular,12,may,737,3,-1,0,unknown,yes
15438,34,admin.,divorced,secondary,no,-251,no,no,cellular,18,jul,641,1,-1,0,unknown,yes
14101,49,blue-collar,married,secondary,no,3728,yes,no,cellular,11,jul,1060,2,-1,0,unknown,yes
2755,29,blue-collar,married,secondary,no,23,yes,no,unknown,14,may,219,4,-1,0,unknown,no
1810,55,blue-collar,married,primary,no,1373,no,no,unknown,9,may,1087,2,-1,0,unknown,no
33697,29,technician,single,secondary,no,3466,no,no,cellular,21,apr,274,1,-1,0,unknown,yes
19672,31,management,married,tertiary,no,676,no,no,cellular,7,aug,1182,1,-1,0,unknown,yes
14649,51,entrepreneur,married,secondary,no,-799,no,yes,cellular,15,jul,1001,3,-1,0,unknown,yes
2854,31,management,married,tertiary,no,0,no,no,unknown,14,may,298,1,-1,0,unknown,no
40779,30,management,single,tertiary,no,697,no,no,cellular,10,aug,179,3,102,2,success,yes
25934,33,admin.,married,unknown,no,2780,no,no,cellular,19,nov,485,1,-1,0,unknown,yes
3576,49,technician,married,secondary,no,3033,no,no,unknown,15,may,125,5,-1,0,unknown,no
3208,51,retired,married,secondary,no,0,no,no,unknown,15,may,70,1,-1,0,unknown,no
381,49,services,married,secondary,no,245,yes,yes,unknown,6,may,318,1,-1,0,unknown,no
39908,31,student,single,tertiary,no,64,no,no,cellular,2,jun,261,2,-1,0,unknown,yes
2466,41,services,married,secondary,no,-111,yes,no,unknown,13,may,21,1,-1,0,unknown,no
19243,34,services,married,secondary,no,2956,no,no,cellular,6,aug,835,2,-1,0,unknown,yes
14003,29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
22150,57,technician,divorced,tertiary,no,96,no,no,cellular,21,aug,913,4,-1,0,unknown,yes
18410,48,entrepreneur,married,tertiary,yes,-392,no,no,cellular,31,jul,725,4,-1,0,unknown,yes
1865,52,blue-collar,divorced,primary,no,-97,yes,yes,unknown,9,may,167,4,-1,0,unknown,no
30857,28,self-employed,single,secondary,no,5679,yes,no,cellular,9,feb,701,4,-1,0,unknown,yes
1832,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes
2937,41,blue-collar,married,secondary,no,235,yes,no,unknown,14,may,181,1,-1,0,unknown,no
3551,31,blue-collar,divorced,secondary,no,1125,no,yes,unknown,15,may,548,1,-1,0,unknown,no
2254,55,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,467,5,-1,0,unknown,no
4467,35,management,married,tertiary,no,440,yes,no,unknown,20,may,110,1,-1,0,unknown,no
41993,22,student,single,secondary,no,23,no,no,cellular,27,oct,137,1,-1,0,unknown,yes
2978,56,blue-collar,divorced,secondary,no,166,yes,no,unknown,14,may,350,2,-1,0,unknown,no
43962,32,admin.,single,secondary,no,131,yes,no,cellular,22,jun,522,1,183,2,success,yes
1899,49,housemaid,divorced,primary,no,164,yes,no,unknown,9,may,1080,5,-1,0,unknown,no
29488,36,unemployed,single,tertiary,no,1291,no,no,cellular,3,feb,298,1,-1,0,unknown,yes
18243,33,unemployed,married,secondary,no,-144,no,no,cellular,30,jul,481,3,-1,0,unknown,yes
2611,44,technician,married,primary,no,2887,yes,no,unknown,13,may,182,1,-1,0,unknown,no
3568,52,blue-collar,married,primary,no,1079,yes,no,unknown,15,may,257,7,-1,0,unknown,no
3128,36,admin.,married,secondary,no,402,yes,no,unknown,14,may,482,2,-1,0,unknown,no
18161,59,retired,divorced,secondary,no,679,no,no,cellular,30,jul,761,4,-1,0,unknown,yes
41921,33,management,single,tertiary,no,6807,no,no,cellular,21,oct,512,2,184,1,success,yes
2213,28,services,single,secondary,no,-260,yes,no,unknown,12,may,170,2,-1,0,unknown,no
2563,47,blue-collar,married,primary,no,113,yes,no,unknown,13,may,276,1,-1,0,unknown,no
42122,29,student,single,unknown,no,10332,no,no,cellular,2,nov,46,3,-1,0,unknown,yes
4157,20,blue-collar,married,primary,no,-172,yes,yes,unknown,19,may,238,3,-1,0,unknown,no
42699,47,blue-collar,married,secondary,no,820,no,no,cellular,18,jan,262,1,91,1,success,yes
1250,50,blue-collar,married,primary,no,40,yes,no,unknown,8,may,152,1,-1,0,unknown,no
118,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
69,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
1677,52,services,divorced,primary,no,146,yes,no,unknown,9,may,93,1,-1,0,unknown,no
1986,41,management,single,tertiary,no,1696,yes,no,unknown,9,may,878,3,-1,0,unknown,no
31073,27,student,single,tertiary,no,3733,yes,no,telephone,13,feb,299,6,-1,0,unknown,yes
44492,25,student,single,secondary,no,348,no,no,cellular,10,aug,245,1,-1,0,unknown,yes
42739,42,unknown,single,unknown,no,942,no,no,cellular,27,jan,245,1,92,2,success,yes
13807,47,blue-collar,married,secondary,no,182,yes,no,telephone,10,jul,39,1,-1,0,unknown,yes
21214,60,blue-collar,married,primary,no,493,no,no,cellular,18,aug,671,4,-1,0,unknown,yes
3268,52,admin.,married,secondary,no,225,yes,no,unknown,15,may,167,1,-1,0,unknown,no
31339,60,technician,married,secondary,no,1740,no,no,cellular,13,mar,296,2,-1,0,unknown,yes
823,33,blue-collar,single,primary,no,95,yes,no,unknown,7,may,102,1,-1,0,unknown,no
3189,42,housemaid,single,primary,no,5774,yes,no,unknown,15,may,54,2,-1,0,unknown,no
2995,51,admin.,married,primary,no,658,yes,no,unknown,14,may,369,1,-1,0,unknown,no
29194,40,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531,1,208,1,success,yes
2648,60,retired,married,secondary,no,1390,no,yes,unknown,13,may,58,2,-1,0,unknown,no
40175,31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,548,2,-1,0,unknown,yes
1620,52,self-employed,single,tertiary,no,458,yes,yes,unknown,9,may,132,5,-1,0,unknown,no
1303,40,management,married,tertiary,no,121,no,no,unknown,8,may,82,1,-1,0,unknown,no
45040,34,technician,married,secondary,no,159,yes,no,cellular,18,oct,252,1,-1,0,unknown,yes
33767,53,retired,married,secondary,no,665,yes,no,cellular,22,apr,371,2,-1,0,unknown,yes
18447,30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,-1,0,unknown,yes
19178,46,technician,married,secondary,no,940,no,no,cellular,5,aug,1227,2,-1,0,unknown,yes
4155,32,blue-collar,married,primary,no,1076,yes,no,unknown,19,may,67,1,-1,0,unknown,no
496,39,blue-collar,divorced,secondary,no,42,yes,no,unknown,6,may,226,2,-1,0,unknown,no
1937,29,blue-collar,married,primary,no,608,yes,no,unknown,9,may,184,2,-1,0,unknown,no
621,33,technician,divorced,secondary,no,7,yes,yes,unknown,6,may,87,1,-1,0,unknown,no
4192,54,blue-collar,married,secondary,no,-754,yes,no,unknown,19,may,222,2,-1,0,unknown,no
4556,33,management,single,tertiary,no,136,yes,yes,unknown,20,may,347,6,-1,0,unknown,no
12250,26,admin.,single,primary,no,-122,yes,no,unknown,23,jun,670,3,-1,0,unknown,yes
42177,34,admin.,married,secondary,no,2374,yes,no,cellular,9,nov,161,1,209,2,failure,yes
4746,50,blue-collar,married,primary,no,2610,yes,yes,unknown,20,may,181,6,-1,0,unknown,no
4268,21,student,single,unknown,no,210,yes,no,unknown,19,may,53,1,-1,0,unknown,no
1593,36,technician,married,tertiary,no,491,yes,no,unknown,8,may,103,3,-1,0,unknown,no
533,40,management,single,tertiary,no,3877,yes,no,unknown,6,may,145,1,-1,0,unknown,no
43947,34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,227,4,failure,yes
44547,44,management,married,tertiary,no,1791,no,no,telephone,12,aug,201,1,182,2,success,yes
1396,39,services,single,secondary,no,-244,yes,no,unknown,8,may,152,2,-1,0,unknown,no
1201,36,entrepreneur,single,secondary,no,157,yes,no,unknown,8,may,41,1,-1,0,unknown,no
1066,44,entrepreneur,married,primary,no,58,yes,no,unknown,7,may,113,3,-1,0,unknown,no
42989,77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success,yes
41125,24,technician,married,secondary,no,556,yes,no,cellular,18,aug,460,2,-1,0,unknown,yes
12755,45,technician,married,secondary,no,879,no,no,cellular,7,jul,621,2,-1,0,unknown,yes
31452,41,management,married,tertiary,no,1468,yes,no,cellular,31,mar,237,3,-1,0,unknown,yes
1148,48,admin.,divorced,secondary,no,268,yes,no,unknown,7,may,71,4,-1,0,unknown,no
44816,35,management,married,unknown,no,2326,yes,yes,cellular,16,sep,319,1,-1,0,unknown,yes
1035,52,blue-collar,divorced,primary,no,196,yes,no,unknown,7,may,119,3,-1,0,unknown,no
4985,31,admin.,single,tertiary,no,1583,yes,no,unknown,21,may,207,1,-1,0,unknown,no
664,41,entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no
15238,27,services,married,secondary,no,0,yes,no,cellular,17,jul,991,5,-1,0,unknown,yes
3842,55,blue-collar,married,primary,no,571,yes,no,unknown,16,may,323,4,-1,0,unknown,no
2454,26,services,married,secondary,no,380,yes,no,unknown,13,may,260,3,-1,0,unknown,no
3881,27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,yes
4047,36,management,married,secondary,no,122,yes,no,unknown,19,may,39,7,-1,0,unknown,no
42851,31,unemployed,single,tertiary,no,302,no,no,cellular,3,feb,349,1,357,3,success,yes
40153,35,management,single,tertiary,no,471,no,no,cellular,5,jun,276,2,-1,0,unknown,yes
1510,38,management,single,tertiary,no,0,yes,no,unknown,8,may,92,3,-1,0,unknown,no
4018,46,services,married,secondary,no,271,yes,no,unknown,16,may,134,4,-1,0,unknown,no
33414,73,retired,divorced,tertiary,no,3203,no,no,cellular,20,apr,148,1,-1,0,unknown,yes
2881,48,technician,married,secondary,no,7373,yes,no,unknown,14,may,126,1,-1,0,unknown,no
3965,41,blue-collar,single,primary,no,1649,yes,no,unknown,16,may,312,3,-1,0,unknown,no
1525,46,blue-collar,married,primary,no,0,yes,yes,unknown,8,may,390,3,-1,0,unknown,no
5292,37,admin.,divorced,tertiary,no,4303,yes,no,unknown,23,may,168,1,-1,0,unknown,no
4892,35,blue-collar,married,secondary,no,-557,yes,yes,unknown,21,may,249,1,-1,0,unknown,no
53,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
3410,45,management,married,tertiary,no,1363,yes,no,unknown,15,may,657,5,-1,0,unknown,no
3519,41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes
41995,60,admin.,married,unknown,no,4629,yes,no,cellular,27,oct,624,1,-1,0,unknown,yes
2744,54,blue-collar,divorced,primary,no,2062,yes,no,unknown,14,may,438,2,-1,0,unknown,no
4153,46,blue-collar,single,primary,no,2851,yes,no,unknown,19,may,122,2,-1,0,unknown,no
44189,31,technician,single,secondary,no,2544,no,no,cellular,15,jul,252,1,184,3,success,yes
5002,29,management,single,tertiary,no,330,yes,no,unknown,21,may,315,1,-1,0,unknown,no
1402,25,blue-collar,single,secondary,no,0,yes,no,unknown,8,may,30,2,-1,0,unknown,no
932,40,blue-collar,married,secondary,yes,-94,yes,yes,unknown,7,may,227,1,-1,0,unknown,no
1586,26,management,single,tertiary,no,498,yes,no,unknown,8,may,99,3,-1,0,unknown,no
17094,51,blue-collar,married,primary,no,0,yes,yes,cellular,25,jul,946,3,-1,0,unknown,yes
5328,31,entrepreneur,married,tertiary,no,0,yes,no,unknown,23,may,275,2,-1,0,unknown,no
30679,60,admin.,divorced,secondary,no,-41,yes,yes,cellular,6,feb,1658,1,262,1,failure,yes
31416,58,management,married,tertiary,no,1384,yes,no,cellular,27,mar,342,1,-1,0,unknown,yes
30364,42,technician,single,secondary,no,541,yes,no,cellular,5,feb,656,1,-1,0,unknown,yes
41354,45,management,married,tertiary,no,4119,yes,yes,telephone,31,aug,473,2,283,1,success,yes
1129,29,services,married,primary,no,321,yes,no,unknown,7,may,196,2,-1,0,unknown,no
2556,51,technician,married,secondary,no,463,yes,no,unknown,13,may,213,5,-1,0,unknown,no
39973,52,management,divorced,tertiary,no,2104,no,no,cellular,3,jun,210,2,-1,0,unknown,yes
32059,40,technician,single,tertiary,no,1175,no,no,cellular,14,apr,184,1,-1,0,unknown,yes
20890,33,management,married,tertiary,no,191,no,no,cellular,13,aug,1148,2,-1,0,unknown,yes
1034,41,blue-collar,single,secondary,no,277,yes,no,unknown,7,may,2177,4,-1,0,unknown,no
2679,50,management,single,tertiary,no,1300,yes,no,unknown,13,may,379,2,-1,0,unknown,no
4683,30,services,single,secondary,no,862,yes,yes,unknown,20,may,550,2,-1,0,unknown,no
237,37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
24107,35,management,single,tertiary,no,7506,yes,no,unknown,30,oct,248,1,-1,0,unknown,yes
1417,32,blue-collar,married,secondary,no,1,yes,no,unknown,8,may,102,1,-1,0,unknown,no
31283,34,management,single,tertiary,no,575,no,no,cellular,9,mar,116,1,-1,0,unknown,yes
4520,41,services,single,secondary,no,1629,yes,no,unknown,20,may,85,1,-1,0,unknown,no
43167,73,retired,married,unknown,no,519,no,no,telephone,26,feb,270,3,133,2,success,yes
3017,51,unemployed,married,secondary,no,760,yes,no,unknown,14,may,411,1,-1,0,unknown,no
3510,30,management,single,tertiary,no,78,yes,no,unknown,15,may,73,2,-1,0,unknown,no
16637,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
3868,38,management,married,tertiary,no,2724,yes,no,unknown,16,may,177,4,-1,0,unknown,no
43916,26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,yes
41595,52,housemaid,married,primary,no,10943,no,no,cellular,16,sep,292,1,-1,0,unknown,yes
44810,29,management,married,tertiary,no,247,no,no,cellular,16,sep,143,2,587,3,failure,yes
31043,30,services,single,secondary,no,1599,no,no,cellular,11,feb,152,2,-1,0,unknown,yes
3083,43,services,divorced,secondary,no,206,yes,no,unknown,14,may,436,1,-1,0,unknown,no
39172,29,admin.,single,secondary,no,306,yes,no,cellular,18,may,774,4,-1,0,unknown,yes
41135,30,student,single,secondary,no,48,no,no,cellular,18,aug,161,1,173,1,failure,yes
18894,36,management,divorced,tertiary,no,0,no,no,cellular,4,aug,1165,1,-1,0,unknown,yes
44835,46,services,married,primary,no,4343,yes,no,unknown,20,sep,185,1,-1,0,unknown,yes
28661,27,management,single,primary,yes,13,no,no,cellular,30,jan,475,3,-1,0,unknown,yes
43148,59,technician,married,secondary,no,7766,yes,no,cellular,25,feb,1422,1,461,1,failure,yes
4566,59,retired,married,secondary,no,-313,yes,no,unknown,20,may,407,1,-1,0,unknown,no
1404,30,blue-collar,married,primary,no,4,yes,no,unknown,8,may,32,2,-1,0,unknown,no
17286,27,technician,single,secondary,no,3933,no,no,cellular,28,jul,837,3,-1,0,unknown,yes
32433,50,management,married,tertiary,no,469,no,no,cellular,16,apr,161,1,-1,0,unknown,yes
3473,32,management,single,secondary,no,6,yes,no,unknown,15,may,228,1,-1,0,unknown,no
34225,36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,322,11,-1,0,unknown,yes
2839,43,technician,married,secondary,no,212,yes,no,unknown,14,may,78,1,-1,0,unknown,no
2697,44,blue-collar,married,primary,no,617,yes,no,unknown,13,may,227,2,-1,0,unknown,no
5103,33,blue-collar,married,secondary,no,263,yes,no,unknown,21,may,206,3,-1,0,unknown,no
13111,25,blue-collar,married,secondary,no,101,no,yes,cellular,8,jul,460,3,-1,0,unknown,yes
5343,35,management,married,secondary,no,339,yes,no,unknown,23,may,317,1,-1,0,unknown,no
4724,35,blue-collar,single,secondary,no,275,yes,no,unknown,20,may,243,2,-1,0,unknown,no
41404,46,admin.,married,tertiary,no,2552,no,no,cellular,3,sep,260,1,94,8,success,yes
40781,23,student,single,tertiary,no,0,no,no,cellular,10,aug,213,1,-1,0,unknown,yes
41296,60,retired,married,tertiary,no,108,no,no,cellular,26,aug,624,1,-1,0,unknown,yes
37047,35,admin.,single,secondary,no,0,yes,no,cellular,13,may,1073,1,-1,0,unknown,yes
4135,30,blue-collar,married,secondary,no,12697,yes,yes,unknown,19,may,95,1,-1,0,unknown,no
41608,70,retired,married,tertiary,no,44,no,no,cellular,18,sep,1104,2,88,2,other,yes
40723,42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,1,failure,yes
3852,35,blue-collar,married,secondary,no,53,yes,no,unknown,16,may,258,2,-1,0,unknown,no
3539,53,services,married,secondary,no,2925,yes,no,unknown,15,may,1392,4,-1,0,unknown,no
4821,33,management,married,tertiary,no,3090,yes,no,unknown,21,may,162,1,-1,0,unknown,no
5060,34,management,single,tertiary,no,2412,yes,no,unknown,21,may,154,2,-1,0,unknown,no
3834,24,technician,single,secondary,no,3926,yes,no,unknown,16,may,320,2,-1,0,unknown,no
4175,40,blue-collar,married,secondary,no,-341,yes,no,unknown,19,may,192,1,-1,0,unknown,no
41311,33,technician,single,tertiary,no,3689,no,no,cellular,27,aug,445,3,-1,0,unknown,yes
18884,51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown,yes
41509,35,management,married,tertiary,no,2161,no,no,cellular,9,sep,569,3,-1,0,unknown,yes
4489,34,technician,divorced,secondary,no,2036,yes,yes,unknown,20,may,104,1,-1,0,unknown,no
5017,34,technician,single,secondary,no,1091,yes,no,unknown,21,may,252,2,-1,0,unknown,no
1851,41,blue-collar,single,secondary,no,184,yes,no,unknown,9,may,1054,2,-1,0,unknown,no
31407,28,admin.,single,secondary,no,1277,no,no,cellular,26,mar,475,1,-1,0,unknown,yes
2162,31,blue-collar,married,secondary,no,297,yes,no,unknown,12,may,480,1,-1,0,unknown,no
45056,64,management,married,tertiary,no,5112,no,no,telephone,19,oct,898,7,137,11,other,yes
139,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
252,34,services,single,secondary,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
4513,37,management,single,unknown,no,715,yes,no,unknown,20,may,247,2,-1,0,unknown,no
42216,40,management,married,tertiary,no,9366,no,no,cellular,11,nov,69,3,-1,0,unknown,yes
42079,26,technician,single,secondary,no,44,no,no,cellular,30,oct,217,1,-1,0,unknown,yes
4854,37,entrepreneur,married,tertiary,no,1110,yes,no,unknown,21,may,189,2,-1,0,unknown,no
32146,62,blue-collar,married,secondary,no,180,no,no,cellular,15,apr,389,2,-1,0,unknown,yes
1960,34,blue-collar,married,secondary,no,2137,no,no,unknown,9,may,245,4,-1,0,unknown,no
2983,45,entrepreneur,single,tertiary,no,1410,yes,no,unknown,14,may,44,8,-1,0,unknown,no
44977,27,admin.,married,tertiary,no,346,no,no,cellular,11,oct,212,1,-1,0,unknown,yes
1799,23,services,single,secondary,no,-39,yes,yes,unknown,9,may,142,2,-1,0,unknown,no
40968,36,technician,married,tertiary,no,341,no,no,cellular,13,aug,282,1,-1,0,unknown,yes
26926,50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure,yes
2619,44,services,married,secondary,no,29312,no,no,unknown,13,may,226,1,-1,0,unknown,no
1208,34,management,married,tertiary,no,133,yes,no,unknown,8,may,65,1,-1,0,unknown,no
2020,34,technician,married,secondary,no,484,no,no,unknown,9,may,84,4,-1,0,unknown,no
1462,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
38477,25,admin.,single,secondary,no,507,yes,no,cellular,15,may,832,1,367,3,failure,yes
31229,54,admin.,married,secondary,no,602,no,no,cellular,3,mar,143,2,-1,0,unknown,yes
2085,37,blue-collar,married,secondary,no,194,yes,no,unknown,12,may,566,7,-1,0,unknown,no
5244,55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
31875,55,admin.,married,unknown,no,2038,no,no,cellular,9,apr,394,1,-1,0,unknown,yes
38725,35,blue-collar,married,secondary,no,205,yes,yes,cellular,15,may,1313,7,312,1,failure,yes
40552,24,blue-collar,single,secondary,no,9883,no,no,cellular,8,jul,210,5,-1,0,unknown,yes
46,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
2166,29,blue-collar,married,secondary,no,-28,yes,no,unknown,12,may,393,1,-1,0,unknown,no
43807,23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success,yes
